hcpcs_code,total_unique_beneficiaries,total_paid
40106,580,0
44444,43,0
450012,12,0
5000B,178,0
5000D,118,0
5000E,177,0
5000F,154,0
50215,48,0
518F,29,0
521,52,0
55102,26,0
59420,200,0
59451,29,0
5S100,26,0
612,13,0
62508,13,0
64000,67,0
6WKFU,17,0
71900,12,0
77052,46,0
77055,14,0
77057,50,0
80102,119,0
80275,99,0
80300,45,0
80301,1244,0
80302,27,0
80303,207,0
80304,83,0
8083498,56,0
82492,120,0
82541,39,0
82544,53,0
82951QW,12,0
83295,15,0
83896,3759,0
86327,12,0
865932,19,0
87365,12,0
87620,25,0
87621,49,0
890401,25,0
9  00,12,0
90019,1169,0
90028,36,0
901301,14,0
90470,18,0
90471CG,100,0
90479,15,0
90646,82,0
90651ST,13,0
90651X,36,0
90655ST,298,0
90659,45,0
90712,30,0
90715SL,13,0
90718,12,0
90724,114,0
90734SL,23,0
90741,14,0
90760,12,0
90780,24,0
90803,915,0
90805,13,0
90810,485,0
9083H,21,0
90855,31,0
90862,13,0
908HW,12,0
91301CG,45,0
91302,14,0
92135,13,0
923410,13,0
92501,13,0
92508:TM,80,0
92530,26,0
92559,25,0
94648,31,0
95341,23,0
95509,12,0
96217,15,0
96512,28,0
97135,26,0
97510,27,0
97762,29,0
98619,12,0
991,20,0
99101,12,0
99144,68,0
99160,13,0
99212T,19,0
99420,2472,0
99713,14,0
999,25,0
99921,17,0
99991,35,0
99992,31,0
A0226,195,0
A0425:TM,47,0
A0995,14,0
A1003,40,0
A4293,12,0
A4535,13,0
ACUHE,36,0
ADMIN,17540,0
AO120,36,0
B00K1,246,0
BADDE,34,0
BARDOPTI,98,0
BCM11,99,0
BCM12,43,0
BG10,44,0
BILIMIS,41,0
BMGO,44,0
BPS15,19,0
BVD10,13,0
C3000,17,0
CAG04,13,0
CAR01,13,0
CARE,231,0
CGSMG,21,0
CHI,46,0
CHTRV,12,0
CLS34,161,0
CMC19,178,0
CME000,57,0
CN006,13,0
COD18,118326,0
COMMUTE,43,0
COVID,173,0
CURES,87,0
D0001,2972,0
D0002,7661,0
D0007,12,0
D0009,51,0
D0010,26,0
D0024,1080,0
D0033,180,0
D0052,52,0
D0071,149,0
D0099,127,0
D00AW,57,0
D00CP,14,0
D00JA,25,0
D0100,15,0
D0108,63,0
D0110,106,0
D0114,58,0
D0229,164,0
D0242,32,0
D0400,77,0
D0471,27,0
D0490,33,0
D0512,313,0
D0777,50,0
D0990,12,0
D0CP1,12,0
D0INT,26,0
D0TPC,13,0
D1000,103,0
D1001,942,0
D1201,152,0
D1204,602,0
D1205,40,0
D1300,14,0
D1340,12,0
D135,100,0
D1706,13,0
D1999P,42,0
D2993,15,0
D4050,16,0
D5000,681,0
D5230,15,0
D5899Z,904,0
D6000,19,0
D7110,67,0
D7999Z,13,0
D9330,19,0
D9431,14,0
D9907,33,0
D9998,21,0
D9999Z,15,0
DC0MP,12,0
DCAR,33,0
DD250,46,0
DENTA,36,0
DIH01,24,0
DMH20,33,0
DMISS,35,0
DO140,13,0
DO340,14,0
DO350,14,0
DONAT,63,0
DPCOM,13,0
DR01,26,0
DR0BE,229,0
DRADF,15,0
DS001,673,0
DSDST1,51,0
DSEAL,13,0
E1340,30,0
EEXAM,15,0
ESUP,29,0
F00Z6ZZ,12,0
FEE40,272,0
FLUST,13,0
FLUVF,383,0
G0441,12,0
G0647,26,0
G3014,26,0
G4067,66,0
G8402,13,0
G8434,15,0
G8447,74,0
G8553,550,0
G8609,12,0
GC284,44,0
H)015,15,0
H0031H,133,0
H0034H,306,0
H004,989,0
H0236,16,0
H2014 U,51,0
H2014H,38,0
H2014U,65,0
H2017:TM,72,0
H2104,26,0
H2306,13,0
HE214,43,0
HEC1,513,0
HH250,4495,0
HH270,1161,0
HH623,452,0
HH658,17,0
HOO36,13,0
HOO46,88,0
HOSPO,40,0
HR932,15,0
HTD1,44,0
HTD4,867,0
HW015,24,0
HW151,12,0
IBUL,28,0
IMMUN,46,0
INFHL,24,0
INPOS,3576,0
INSFB,12,0
INVAL,12,0
INVCD,1702,0
J1055,91,0
J3301M,141,0
J3490L,13,0
J7616,15,0
JLL00,27,0
LTFUP,13,0
LU014,222,0
LU100,313,0
LU232,455,0
LU233,210,0
LU238,1591,0
LU239,97,0
LU240,12,0
LU242,98,0
LU282,46,0
LU283,42,0
LU400,739,0
LU903,375,0
LUEXP,86,0
M2025,183,0
MC050,33,0
MCAID,26,0
MCDER,157,0
MEDAD,62,0
MILE1,29,0
MPID1,14,0
MR002,48,0
MR006,64,0
MR007,17,0
MR010,14,0
MR014,30,0
MR018,28,0
MR026,12,0
MR067,88,0
MR068,34,0
MR069,95,0
MR070,29,0
MR940,45,0
MULTIPL,96,0
MUREP,25,0
N1351,128,0
N2022,12,0
N4141,166,0
N4142,178,0
N4143,181,0
NCADV,16,0
NO BI,12,0
NOBIL,2964,0
NOBLL,115,0
NOCHA,12,0
NOCHG,25,0
NOEM,16,0
NOMIN,30,0
NONE,696,0
NS,25,0
NT/WKN,43,0
OBL13,12,0
OBL28,16,0
OBUS,54,0
OCINC,13,0
OL057,12,0
OL068,14,0
OL088,14,0
OL214,14,0
OL229,14,0
ONACC,34,0
OOE,25,0
OP324,19,0
OP636,234,0
OP780,13,0
OP911,26,0
P4300,533,0
PD100,23,0
PE100,47,0
PERI0,45,0
PM018,25,0
PN000,229,0
PROP5,428,0
PSC,13,0
PT624,122,0
PT818,16,0
Q3104,32,0
Q4093,113,0
QSOSO,17,0
R69,33,0
RATECO,40,0
RD2,26,0
RD4,36,0
RD5,51,0
RESRB,850,0
RETRO,69,0
RFUND,43,0
RH20,35,0
RN001,13,0
ROARB,2673,0
RUGS,175,0
RW002,13,0
S1500,14,0
S5152,18,0
S5215,41,0
S9806,68,0
S9945,36,0
SA019,1682,0
SA020,183,0
SA021,3405,0
SA687,755,0
SBIRT,24,0
SCBUN,12,0
SCBUN-,12,0
SHA,37,0
SMGS0,409,0
SPLIT,64,0
START,13,0
SUTSH,61,0
SV101,19,0
T-2905,32,0
T0115,33,0
T019,54,0
T10019,12,0
T1016-,30,0
T1019.U,24,0
T101911,13,0
T1019SC,56,0
T1019U,30,0
T1019U3,23,0
T1050,267,0
T109,412,0
T1096,17,0
T1099,16,0
T1101,851,0
T128,14,0
T2009,13,0
T2016 U5,31,0
T2022H,205,0
T2028 U,151,0
T2130,12,0
T2202,63,0
T2300,26,0
T2301,13,0
T2905,38,0
TB032,29,0
TELEH,2510,0
TELEP,4522,0
TELHT,25,0
TPC0M,13,0
TRANS-N,124,0
TRANS1,39,0
TRNO,136,0
TX018,30,0
TX693,13,0
U004,12,0
U00O3,18,0
U071,92,0
U1351,46,0
UHLC1,1007,0
V2741,358,0
VFC,98,0
VH100,55,0
VIRT01,14,0
VOID,13,0
VSY5,3753,0
W0000,65,0
W00R1,726,0
W00R2,3895,0
W00R4,977,0
W00R5,580,0
W0BR2,88,0
W1300,671,0
W1502,13,0
W1671,58,0
W1716,14,0
W3247,53,0
W51,16,0
W5511,2118,0
W7071,1705,0
W7077,1206,0
W7202,1927,0
W7206,2252,0
W7207,378,0
W7214,71,0
W9006,15,0
WA047,13,0
WA078,17,0
WA081,12,0
WATER,2092,0
WELL2,27,0
WS510,27,0
X0002,105,0
X0214,90,0
X1574,16,0
X3902,138,0
X3924,29881,0
X3936,17,0
X5410,52,0
X5752,30,0
X5880,98,0
X6218,464,0
X7700,1606,0
X9999,22,0
XX999,16,0
Y2509,86,0
YA323,12,0
YM120,136,0
YM851,12,0
YP620,164,0
YP660,13,0
YP710,37,0
YP760,33,0
YP770,14,0
YP780,12,0
YP790,86,0
Z0003,12,0
Z0030,1366,0
Z0040,795,0
Z0055,1521,0
Z0062,112,0
Z0119,241,0
Z0125,15,0
Z0126,15,0
Z0140,1591,0
Z0141,12,0
Z0316,24,0
Z0580,1461,0
Z0600,1473,0
Z1036,415,0
Z2077,16,0
Z23,91,0
Z2702,2808,0
Z5023,87,0
Z5183,12,0
Z5218,26,0
Z5220,350,0
Z5989,101,0
Z68.1,58,0
Z68.51,58,0
Z71.3,48,0
Z71.8,47,0
Z7689,70,0
Z9500,31,0
Z9999,12,0
