revenue_code,description,source
0294,Supplies/Drugs for DME effectiveness (HHA only),Illinois HFS revenue code crosswalk (2011)
0300,Laboratory - Clinical Diagnostic,Illinois HFS revenue code crosswalk (2011)
0301,Laboratory - Clinical Diagnostic: Chemistry,Illinois HFS revenue code crosswalk (2011)
0302,Laboratory - Clinical Diagnostic: Immunology,Illinois HFS revenue code crosswalk (2011)
0304,Laboratory - Clinical Diagnostic: Nonroutine dialysis,Illinois HFS revenue code crosswalk (2011)
0305,Laboratory - Clinical Diagnostic: Hematology,Illinois HFS revenue code crosswalk (2011)
0306,Laboratory - Clinical Diagnostic: Bacteriology/microbiology,Illinois HFS revenue code crosswalk (2011)
0307,Laboratory - Clinical Diagnostic: Urology,Illinois HFS revenue code crosswalk (2011)
0309,Laboratory - Clinical Diagnostic: Other laboratory,Illinois HFS revenue code crosswalk (2011)
0310,Laboratory - Pathology,Illinois HFS revenue code crosswalk (2011)
0311,Laboratory - Pathology: Cytology,Illinois HFS revenue code crosswalk (2011)
0312,Laboratory - Pathology: Histology,Illinois HFS revenue code crosswalk (2011)
0320,Radiology - Diagnostic,Illinois HFS revenue code crosswalk (2011)
0324,Radiology - Diagnostic: Chest X-ray,Illinois HFS revenue code crosswalk (2011)
0331,Radiology - Therapeutic: Chemotherapy - injected,Illinois HFS revenue code crosswalk (2011)
0333,Radiology - Therapeutic: Radiation therapy,Illinois HFS revenue code crosswalk (2011)
0335,Radiology - Therapeutic: Chemotherapy - IV,Illinois HFS revenue code crosswalk (2011)
0340,Nuclear Medicine,Illinois HFS revenue code crosswalk (2011)
0341,Nuclear Medicine: Diagnostic,Illinois HFS revenue code crosswalk (2011)
0343,Diagnostic Radiopharms,Illinois HFS revenue code crosswalk (2011)
0349,Nuclear Medicine: Other,Illinois HFS revenue code crosswalk (2011)
0350,CT Scan,Illinois HFS revenue code crosswalk (2011)
0351,CT Scan: Head,Illinois HFS revenue code crosswalk (2011)
0352,CT Scan: Body,Illinois HFS revenue code crosswalk (2011)
0359,CT Scan: Other CT scans,Illinois HFS revenue code crosswalk (2011)
0360,Operating Room Services,Illinois HFS revenue code crosswalk (2011)
0361,Operating Room Services: Minor surgery,Illinois HFS revenue code crosswalk (2011)
0369,Operating Room Services: Other operating room services,Illinois HFS revenue code crosswalk (2011)
0370,Anesthesia,Illinois HFS revenue code crosswalk (2011)
0371,Anesthesia: Incident to radiology,Illinois HFS revenue code crosswalk (2011)
0372,Anesthesia: Incident to other diag services,Illinois HFS revenue code crosswalk (2011)
0379,Anesthesia: Other anesthesia,Illinois HFS revenue code crosswalk (2011)
0381,Blood: Packed red cells,Illinois HFS revenue code crosswalk (2011)
0383,Blood: Plasma,Illinois HFS revenue code crosswalk (2011)
0390,Blood Storage/Processing,Illinois HFS revenue code crosswalk (2011)
0391,Blood:  Administration (e.g. Transfusion),Illinois HFS revenue code crosswalk (2011)
0400,Other Imaging Services,Illinois HFS revenue code crosswalk (2011)
0401,Other Imaging Services: Diagnostic mammography,Illinois HFS revenue code crosswalk (2011)
0402,Other Imaging Services: Ultrasound,Illinois HFS revenue code crosswalk (2011)
0403,Other Imaging Services: Screening mammography,Illinois HFS revenue code crosswalk (2011)
0404,Other Imaging Services: PET scan,Illinois HFS revenue code crosswalk (2011)
0409,Other Imaging Services: Other imaging services,Illinois HFS revenue code crosswalk (2011)
0410,Respiratory Services,Illinois HFS revenue code crosswalk (2011)
0412,Respiratory Services: Inhalation services,Illinois HFS revenue code crosswalk (2011)
0420,Physical Therapy,Illinois HFS revenue code crosswalk (2011)
0421,Physical Therapy: Visit charge,Illinois HFS revenue code crosswalk (2011)
0423,Physical Therapy: Group rate,Illinois HFS revenue code crosswalk (2011)
0424,Physical Therapy: Evaluation/re-evaluation,Illinois HFS revenue code crosswalk (2011)
0430,Occupational Therapy,Illinois HFS revenue code crosswalk (2011)
0431,Occupational Therapy: Visit charge,Illinois HFS revenue code crosswalk (2011)
0434,Occupational Therapy: Evaluation/re-evaluation,Illinois HFS revenue code crosswalk (2011)
0439,Occupational Therapy: Other occupational therapy,Illinois HFS revenue code crosswalk (2011)
0440,Speech-Language Pathology,Illinois HFS revenue code crosswalk (2011)
0441,Speech-Language Pathology: Visit charge,Illinois HFS revenue code crosswalk (2011)
0444,Speech-Language Pathology: Evaluation/ re-evaluation,Illinois HFS revenue code crosswalk (2011)
0450,Emergency Room,Illinois HFS revenue code crosswalk (2011)
0451,Emergency Room: EM/EMTALA,Illinois HFS revenue code crosswalk (2011)
0456,Emergency Room: Urgent care,Illinois HFS revenue code crosswalk (2011)
0459,Emergency Room: Other emergency room,Illinois HFS revenue code crosswalk (2011)
0460,Pulmonary Function,Illinois HFS revenue code crosswalk (2011)
0470,Audiology,Illinois HFS revenue code crosswalk (2011)
0471,Audiology: Diagnostic,Illinois HFS revenue code crosswalk (2011)
0479,Audiology: Other audiology,Illinois HFS revenue code crosswalk (2011)
0480,Cardiology,Illinois HFS revenue code crosswalk (2011)
0481,Cardiology: Cardiac catheter lab,Illinois HFS revenue code crosswalk (2011)
0482,Cardiology: Stress test,Illinois HFS revenue code crosswalk (2011)
0483,Cardiology: Echocardiology,Illinois HFS revenue code crosswalk (2011)
0489,Cardiology: Other cardiology,Illinois HFS revenue code crosswalk (2011)
0490,Ambulatory Surgery,Illinois HFS revenue code crosswalk (2011)
0500,Outpatient services ,Illinois HFS revenue code crosswalk (2011)
0510,Clinic,Illinois HFS revenue code crosswalk (2011)
0511,Clinic: Chronic pain center,Illinois HFS revenue code crosswalk (2011)
0512,Clinic: Dental clinic,Illinois HFS revenue code crosswalk (2011)
0513,Clinic: Psychiatric clinic,Illinois HFS revenue code crosswalk (2011)
0514,Clinic: OB/GYN clinic,Illinois HFS revenue code crosswalk (2011)
0515,Clinic: Pediatric clinic,Illinois HFS revenue code crosswalk (2011)
0516,Clinic: Urgent care clinic,Illinois HFS revenue code crosswalk (2011)
0517,Clinic: Family clinic,Illinois HFS revenue code crosswalk (2011)
0519,Clinic: Other clinic,Illinois HFS revenue code crosswalk (2011)
0520,Free-Standing Clinic,Illinois HFS revenue code crosswalk (2011)
0521,Rural health-clinic,Illinois HFS revenue code crosswalk (2011)
0522,Rural health-home,Illinois HFS revenue code crosswalk (2011)
0524,RHC/FQHC visit in Part A covered SNF,Illinois HFS revenue code crosswalk (2011)
0525,"RHC/FQHC visit in noncovered SNF, NF, ICFMR or other",Illinois HFS revenue code crosswalk (2011)
0529,Free-Standing Clinic: Other,Illinois HFS revenue code crosswalk (2011)
0531,Osteopathic Services: Osteopathic therapy,Illinois HFS revenue code crosswalk (2011)
0550,Skilled nursing,Illinois HFS revenue code crosswalk (2011)
0551,Visit charge,Illinois HFS revenue code crosswalk (2011)
0552,Hourly charge,Illinois HFS revenue code crosswalk (2011)
0559,Other skilled nursing,Illinois HFS revenue code crosswalk (2011)
0561,Home Heath (HH) Medical Social Services: Visit charge,Illinois HFS revenue code crosswalk (2011)
0569,Home Health (HH) Medical Social Services: Other Medical Social Services,Illinois HFS revenue code crosswalk (2011)
0571,Visit charge,Illinois HFS revenue code crosswalk (2011)
0572,Hourly charge,Illinois HFS revenue code crosswalk (2011)
0580,Home health-other visits,Illinois HFS revenue code crosswalk (2011)
0581,Visit charge,Illinois HFS revenue code crosswalk (2011)
0583,Assessment,Illinois HFS revenue code crosswalk (2011)
0601,Oxygen-state/equip/suppl/ or cont,Illinois HFS revenue code crosswalk (2011)
0602,Oxygen-state/equip/suppl/ or under 1 LPM,Illinois HFS revenue code crosswalk (2011)
0603,Oxygen-state/equip/over 4 LPM,Illinois HFS revenue code crosswalk (2011)
0610,Magnetic Resonance Tech. (MRT),Illinois HFS revenue code crosswalk (2011)
0611,Magnetic Resonance Tech. (MRT): Brain (incl. Brainstem),Illinois HFS revenue code crosswalk (2011)
0612,Magnetic Resonance Tech. (MRT): Spinal cord (incl. spine),Illinois HFS revenue code crosswalk (2011)
0614,Magnetic Resonance Tech. (MRT): MRI - Other,Illinois HFS revenue code crosswalk (2011)
0621,Med - Surg Supplies Ext. of 270: Incident to radiology,Illinois HFS revenue code crosswalk (2011)
0623,Surgical dressings,Illinois HFS revenue code crosswalk (2011)
0632,Drugs Require Specific ID: Multiple source drug,Illinois HFS revenue code crosswalk (2011)
0634,"Drugs Require Specific ID: EPO under 10,000 units",Illinois HFS revenue code crosswalk (2011)
0635,"Drugs Require Specific ID: EPO over 10,000 units",Illinois HFS revenue code crosswalk (2011)
0636,Drugs Require Specific ID: Drugs requiring detail coding,Illinois HFS revenue code crosswalk (2011)
0637,Drugs Require Specific ID: Self admin drugs (insulin admin in emergency-diabetes coma),Illinois HFS revenue code crosswalk (2011)
0650,Hospice service,Illinois HFS revenue code crosswalk (2011)
0651,routine home care,Illinois HFS revenue code crosswalk (2011)
0657,physician services,Illinois HFS revenue code crosswalk (2011)
0658,Hospice Room & Board-Nursing facility,Illinois HFS revenue code crosswalk (2011)
0659,Other hospice service,Illinois HFS revenue code crosswalk (2011)
0681,Trauma Response: Level I,Illinois HFS revenue code crosswalk (2011)
0682,Trauma Response: Level II,Illinois HFS revenue code crosswalk (2011)
0683,Trauma Response: Level III,Illinois HFS revenue code crosswalk (2011)
0699,RESERVED,Illinois HFS revenue code crosswalk (2011)
0700,Cast Room,Illinois HFS revenue code crosswalk (2011)
0710,Recovery Room,Illinois HFS revenue code crosswalk (2011)
0720,Labor Room,Illinois HFS revenue code crosswalk (2011)
0721,Labor Room: Labor,Illinois HFS revenue code crosswalk (2011)
0722,Labor Room: Delivery,Illinois HFS revenue code crosswalk (2011)
0724,Labor Room: Birthing center,Illinois HFS revenue code crosswalk (2011)
0729,Labor Room: Other labor room/delivery,Illinois HFS revenue code crosswalk (2011)
0730,EKG/ECG,Illinois HFS revenue code crosswalk (2011)
0731,EKG/ECG: Holter monitor,Illinois HFS revenue code crosswalk (2011)
0740,EEG,Illinois HFS revenue code crosswalk (2011)
0750,Gastrointestinal,Illinois HFS revenue code crosswalk (2011)
0760,Treatment/Observation Room,Illinois HFS revenue code crosswalk (2011)
0761,Treatment/Observation Room: Treatment room,Illinois HFS revenue code crosswalk (2011)
0762,Treatment/Observation Room: Observation room,Illinois HFS revenue code crosswalk (2011)
0769,Treatment/Observation Room: Other treatment room,Illinois HFS revenue code crosswalk (2011)
0770,Preventive Care Services,Illinois HFS revenue code crosswalk (2011)
0771,Preventive Care Services: Admin. of vaccine,Illinois HFS revenue code crosswalk (2011)
0780,Telemedicine,Illinois HFS revenue code crosswalk (2011)
0801,Inpatient Hemodialysis,Illinois HFS revenue code crosswalk (2011)
0810,Organ Acquisition,Illinois HFS revenue code crosswalk (2011)
0821,Hemo OPD/Home: Hemodialysis comp or other rate,Illinois HFS revenue code crosswalk (2011)
0851,CCPD OPD/Home: CCPD comp or other rate,Illinois HFS revenue code crosswalk (2011)
0900,Psychiatric/Psychological Trt,Illinois HFS revenue code crosswalk (2011)
0905,Psychiatric/Psychological Trt: Intensive Outpatient serv-sych,Illinois HFS revenue code crosswalk (2011)
0912,Psychiatric/Psychological Svcs: Partial Hosp - less intensive,Illinois HFS revenue code crosswalk (2011)
0913,Psychiatric/Psychological Svcs: Partial Hosp - Intensive,Illinois HFS revenue code crosswalk (2011)
0914,Psychiatric/Psychological Svcs: Individual therapy,Illinois HFS revenue code crosswalk (2011)
0915,Psychiatric/Psychological Svcs: Group therapy,Illinois HFS revenue code crosswalk (2011)
0918,Psychiatric/Psychological Svcs: Testing,Illinois HFS revenue code crosswalk (2011)
0920,Other Diagnostic Services,Illinois HFS revenue code crosswalk (2011)
0921,Other Diagnostic Services: Peripheral vascular lab,Illinois HFS revenue code crosswalk (2011)
0922,Other Diagnostic Services: Electromyelogram,Illinois HFS revenue code crosswalk (2011)
0929,Other Diagnostic Services: Other diagnostic services,Illinois HFS revenue code crosswalk (2011)
0940,Other Therapeutic Serv,Illinois HFS revenue code crosswalk (2011)
0942,Other Therapeutic Serv: Educ/training,Illinois HFS revenue code crosswalk (2011)
0946,Complex medical equipment-Routine,Illinois HFS revenue code crosswalk (2011)
0949,Other Therapeutic Serv: Additional RX SVS,Illinois HFS revenue code crosswalk (2011)
0969,Other professional fee,Illinois HFS revenue code crosswalk (2011)
0972,Professional fees (096x) Radiology-Diagnostic,Illinois HFS revenue code crosswalk (2011)
0983,Professional fees (096x) clinic,Illinois HFS revenue code crosswalk (2011)
0990,Patient convenience items,Illinois HFS revenue code crosswalk (2011)
1000,Behavioral health accomodations,Illinois HFS revenue code crosswalk (2011)
1001,Residential treatment-psychiatric,Illinois HFS revenue code crosswalk (2011)
1002,residential treatment-chemical dependency,Illinois HFS revenue code crosswalk (2011)
1003,Supervised living,Illinois HFS revenue code crosswalk (2011)
1017,UNKNOWN / NOT IN IL+PA REFERENCES,—
1019,UNKNOWN / NOT IN IL+PA REFERENCES,—
1100,UNKNOWN / NOT IN IL+PA REFERENCES,—
1206,UNKNOWN / NOT IN IL+PA REFERENCES,—
1310,UNKNOWN / NOT IN IL+PA REFERENCES,—
1330,UNKNOWN / NOT IN IL+PA REFERENCES,—
2001,UNKNOWN / NOT IN IL+PA REFERENCES,—
2002,UNKNOWN / NOT IN IL+PA REFERENCES,—
2003,UNKNOWN / NOT IN IL+PA REFERENCES,—
2023,UNKNOWN / NOT IN IL+PA REFERENCES,—
3074,UNKNOWN / NOT IN IL+PA REFERENCES,—
3077,UNKNOWN / NOT IN IL+PA REFERENCES,—
3078,UNKNOWN / NOT IN IL+PA REFERENCES,—
3079,UNKNOWN / NOT IN IL+PA REFERENCES,—
3103,"Adult day care, medical and social, daily",Illinois HFS revenue code crosswalk (2011)
3335,UNKNOWN / NOT IN IL+PA REFERENCES,—
4270,UNKNOWN / NOT IN IL+PA REFERENCES,—
6525,UNKNOWN / NOT IN IL+PA REFERENCES,—
7810,UNKNOWN / NOT IN IL+PA REFERENCES,—
7811,UNKNOWN / NOT IN IL+PA REFERENCES,—
7900,UNKNOWN / NOT IN IL+PA REFERENCES,—
8670,UNKNOWN / NOT IN IL+PA REFERENCES,—
9083,UNKNOWN / NOT IN IL+PA REFERENCES,—
9173,UNKNOWN / NOT IN IL+PA REFERENCES,—
9212,UNKNOWN / NOT IN IL+PA REFERENCES,—
9213,UNKNOWN / NOT IN IL+PA REFERENCES,—
9214,UNKNOWN / NOT IN IL+PA REFERENCES,—
9230,UNKNOWN / NOT IN IL+PA REFERENCES,—
9334,UNKNOWN / NOT IN IL+PA REFERENCES,—
9430,UNKNOWN / NOT IN IL+PA REFERENCES,—
9441,UNKNOWN / NOT IN IL+PA REFERENCES,—
9442,UNKNOWN / NOT IN IL+PA REFERENCES,—
9504,UNKNOWN / NOT IN IL+PA REFERENCES,—
9602,UNKNOWN / NOT IN IL+PA REFERENCES,—
9919,UNKNOWN / NOT IN IL+PA REFERENCES,—
